feature,importance
digit_ratio,0.26313195683261353
token_count,0.1310014146398186
hyphen_count,0.10706524565386626
local_asset_ratio,0.09669640866404985
url_length,0.05637068253831401
atob_count,0.04301927911253182
registrable_domain_length,0.028676296433878666
internal_link_count_log,0.023803401288173515
visible_text_length_log,0.02007508947806904
persian_character_ratio,0.017442480843565557
has_idn_or_punycode,0.016818854251201117
external_link_ratio,0.014389965772997775
special_ratio,0.012872083922723003
host_entropy,0.01192104657945433
html_bytes_log,0.009658205582901097
token_length_mean,0.008094758596602492
path_depth,0.007516598065010773
path_entropy,0.007425056782371309
max_dom_depth,0.007214602156778842
path_length,0.006484966895068018
data_uri_count_log,0.006235141003812988
subdomain_count,0.006149710588591446
query_param_count,0.005868806549292198
external_link_count_log,0.005782260690209914
token_length_std,0.005694673497381897
max_siblings_log,0.004790252833434172
query_length,0.004666735671557787
total_tags_log,0.004623986768201384
script_count_log,0.0045733272995310765
word_count_log,0.004438880895014635
image_count_log,0.004429617467409377
title_length_log,0.004209619926979914
host_length,0.004192310005034071
favicon_same_domain,0.0040923558722334675
external_script_ratio,0.0036141803886652075
dot_count,0.0033002992684389876
empty_link_count_log,0.0032902329096733984
favicon_count,0.0032878964131427355
credential_keyword_count_log,0.002972307920411637
password_input_count,0.0029718502931046446
stylesheet_count_log,0.002949176373778459
button_count,0.0028753260193750685
window_location_count,0.0024924189396718813
external_stylesheet_ratio,0.002124368339209559
hidden_input_count,0.0017556539834356318
form_action_cross_domain_ratio,0.0017476573730003822
text_input_count,0.0015819608067392135
iframe_count,0.001462455320079693
form_count,0.0013125545086737727
external_form_action_count,0.001216721615326463
title_domain_token_overlap,0.0005114780763608037
email_input_count,0.0003142709881796632
replacement_character_count,0.0001979934221547771
suspicious_token_count,0.00013962619858737244
document_write_count,0.000135963814886525
captcha_keyword_count_log,0.00010610531857011208
eval_count,9.617212494992031e-05
title_present,6.1000342610144016e-05
meta_refresh_count,5.250955645369636e-05
blob_reference_count,3.7465258464522567e-06
long_random_token_count,6.635323096015007e-19
has_hsts,0.0
has_x_frame_options,0.0
domain_age_days_log,0.0
cross_domain_redirect_count,0.0
external_network_host_ratio,0.0
domain_age_missing,0.0
dns_address_count_log,0.0
dns_missing,0.0
tls_days_remaining_log,0.0
tls_missing,0.0
popularity_rank_log,0.0
has_content_security_policy,0.0
fragment_length,0.0
network_host_count_log,0.0
redirect_count,0.0
at_count,0.0
percent_encoded_count,0.0
mojibake_marker_count,0.0
is_https,0.0
has_ip_host,0.0
unicode_confusable_count,0.0
nonstandard_port,0.0
repeated_character_run,0.0
popularity_missing,0.0
